Symbol,Name,Last Sale,Net Change,% Change,Market Cap
BSGA,Blue Safari Group Acquisition Corp. Class A Ordinary Share,$10.4899,0.0697,0.669%,"79,067,621"
AUBN,"Auburn National Bancorporation, Inc. Common Stock",$22.55,-0.45,-1.957%,"79,024,671"
KINZ,KINS Technology Group Inc. Class A Common Stock,$10.07,UNCH,--,"78,928,660"
JG,Aurora Mobile Limited American Depositary Shares,$0.66,0.0196,3.061%,"78,444,041"
GBRG,Goldenbridge Acquisition Limited Ordinary Shares,$10.35,UNCH,--,"78,310,688"
LKCO,Luokung Technology Corp Ordinary Shares,$0.1589,0.0075,4.954%,"78,258,042"
CODX,"Co-Diagnostics, Inc. Common Stock",$2.53,0.01,0.397%,"78,222,176"
SND,"Smart Sand, Inc. Common Stock",$1.72,-0.07,-3.911%,"77,875,764"
TIL,"Instil Bio, Inc. Common Stock",$0.60,-0.03,-4.762%,"77,865,058"
BYFC,Broadway Financial Corporation Common Stock,$1.02,0.01,0.99%,"77,806,845"
IRON,"Disc Medicine, Inc. Common Stock",$17.95,-1.94,-9.754%,"77,774,316"
SPPI,"Spectrum Pharmaceuticals, Inc.Common Stock",$0.3825,0.014,3.799%,"77,726,108"
MNTX,"Manitex International, Inc. Common Stock",$3.86,-0.14,-3.50%,"77,593,952"
MDWD,MediWound Ltd. Ordinary Shares,$13.29,-0.20,-1.483%,"77,338,670"
ARAV,"Aravive, Inc. Common Stock",$1.29,-0.03,-2.273%,"77,176,676"
VBFC,Village Bank and Trust Financial Corp. Common Stock,$52.00,UNCH,--,"76,751,844"
TMDI,Titan Medical Inc. Ordinary Shares,$0.685,0.0244,3.694%,"76,645,134"
STIX,"Semantix, Inc. Class A Ordinary Shares",$0.95,0.0695,7.893%,"76,467,458"
GDST,Goldenstone Acquisition Limited Common Stock,$10.06,-0.16,-1.566%,"76,418,275"
GNPX,"Genprex, Inc. Common Stock",$1.59,0.14,9.655%,"76,360,265"
ASPA,"ABRI SPAC I, INC. Common Stock",$10.22,UNCH,--,"76,261,620"
CIZN,Citizens Holding Company Common Stock,$13.53,-0.17,-1.241%,"75,816,302"
TAST,"Carrols Restaurant Group, Inc. Common Stock",$1.42,0.06,4.412%,"75,648,046"
APPH,"AppHarvest, Inc. Common Stock",$0.7007,0.1333,23.493%,"75,608,456"
FORA,Forian Inc. Common Stock,$2.32,-0.41,-15.018%,"75,531,574"
VIRC,Virco Manufacturing Corporation Common Stock,$4.65,0.13,2.876%,"75,381,080"
WETG,WeTrade Group Inc. Ordinary Shares,$0.3853,0.0453,13.324%,"75,155,656"
NEON,Neonode Inc. Common Stock,$5.53,0.03,0.545%,"75,043,881"
VIOT,"Viomi Technology Co., Ltd American Depositary Shares",$1.08,0.01,0.935%,"74,865,360"
PPIH,"Perma-Pipe International Holdings, Inc. Common Stock",$9.2841,-0.1659,-1.756%,"74,315,525"
EPIX,ESSA Pharma Inc. Common Stock,$2.56,0.04,1.587%,"74,261,788"
CMPO,"CompoSecure, Inc. Class A Common Stock",$4.71,-0.20,-4.073%,"74,228,036"
ATOS,"Atossa Therapeutics, Inc. Common Stock",$0.5862,0.0577,10.918%,"74,227,053"
SHIP,Seanergy Maritime Holdings Corp Common Stock,$0.483,-0.0125,-2.523%,"73,967,238"
SEEL,"Seelos Therapeutics, Inc. Common Stock",$0.69,0.011,1.62%,"73,946,097"
XLO,"Xilio Therapeutics, Inc. Common Stock",$2.69,UNCH,--,"73,898,623"
ISPO,Inspirato Incorporated Class A Common Stock,$1.25,0.06,5.042%,"73,592,300"
DARE,"Dare Bioscience, Inc. Common Stock",$0.8676,0.0376,4.53%,"73,572,480"
FTHM,Fathom Holdings Inc. Common Stock,$4.30,0.05,1.176%,"73,420,703"
PETZ,"TDH Holdings, Inc. Common Shares",$1.60,0.05,3.226%,"73,359,992"
CLSD,"Clearside Biomedical, Inc. Common Stock",$1.215,0.095,8.482%,"73,131,738"
MNTS,Momentus Inc. Class A Common Stock,$0.8689,0.089,11.412%,"73,117,693"
ETON,"Eton Pharmaceuticals, Inc. Common Stock",$2.89,0.07,2.482%,"73,108,437"
OCUP,"Ocuphire Pharma, Inc. Common Stock",$3.51,-0.02,-0.567%,"73,032,623"
MCHX,"Marchex, Inc. Class B Common Stock",$1.7198,0.1198,7.488%,"73,027,964"
RNLX,Renalytix plc American Depositary Shares,$1.93,0.06,3.209%,"72,270,629"
CODA,"Coda Octopus Group, Inc. Common stock",$6.65,-0.21,-3.061%,"72,207,708"
SYRS,"Syros Pharmaceuticals, Inc. Common Stock",$3.54,-0.05,-1.393%,"71,599,760"
CIDM,"Cinedigm Corp., Class A Common Stock",$0.3999,0.0122,3.147%,"71,255,805"
BCTX,BriaCell Therapeutics Corp. Common Shares,$4.59,0.22,5.034%,"71,227,703"
EPOW,"Sunrise New Energy Co., Ltd Ordinary Shares",$2.89,0.16,5.861%,"70,885,920"
LGVN,Longeveron Inc. Class A Common Stock,$3.37,0.15,4.658%,"70,832,025"
OMEX,"Odyssey Marine Exploration, Inc. Common Stock",$3.63,-0.25,-6.443%,"70,812,112"
FBIO,"Fortress Biotech, Inc. Common Stock",$0.65,-0.005,-0.763%,"70,599,906"
WRAP,"Wrap Technologies, Inc. Common Stock",$1.71,0.02,1.183%,"70,322,574"
HCWB,HCW Biologics Inc. Common Stock,$1.96,0.0452,2.361%,"70,308,081"
AIRT,"Air T, Inc. Common Stock",$24.72,UNCH,--,"70,285,783"
KSCP,"Knightscope, Inc. Class A Common Stock",$1.87,-0.02,-1.058%,"70,182,424"
CLNN,Clene Inc. Common Stock,$0.9501,-0.0499,-4.99%,"70,136,392"
GALT,Galectin Therapeutics Inc. Common Stock,$1.18,0.05,4.425%,"70,122,686"
IPX,IperionX Limited American Depositary Share,$4.99,0.265,5.608%,"70,003,957"
HYFM,"Hydrofarm Holdings Group, Inc. Common Stock",$1.54,-0.01,-0.645%,"69,562,461"
AIRG,"Airgain, Inc. Common Stock",$6.80,0.29,4.455%,"69,520,045"
SANW,S&W Seed Company Common Stock (NV),$1.63,0.14,9.396%,"69,476,215"
IOBT,"IO Biotech, Inc. Common Stock",$2.41,0.11,4.783%,"69,444,793"
PFX,PhenixFIN Corporation Common Stock,$33.00,1.95,6.28%,"69,304,092"
RZLT,"Rezolute, Inc. Common Stock (NV)",$1.88,-0.19,-9.179%,"69,235,826"
FIXX,"Homology Medicines, Inc. Common Stock",$1.20,-0.06,-4.762%,"68,976,732"
LSBK,"Lake Shore Bancorp, Inc. Common Stock",$12.05,-0.02,-0.166%,"68,774,013"
TANH,Tantech Holdings Ltd. Common Shares,$2.38,0.23,10.698%,"68,755,425"
LIFE,"aTyr Pharma, Inc. Common Stock",$2.36,0.17,7.763%,"68,462,142"
REFR,Research Frontiers Incorporated Common Stock,$2.06,0.15,7.853%,"68,289,816"
QUIK,QuickLogic Corporation Common Stock,$5.18,0.04,0.778%,"67,922,957"
HUIZ,Huize Holding Limited American Depositary Shares,$1.305,-0.0751,-5.442%,"67,648,454"
HUDI,"Huadi International Group Co., Ltd. Ordinary Shares",$4.75,-0.33,-6.496%,"67,636,115"
BAFN,BayFirst Financial Corp. Common Stock,$16.75,0.03,0.179%,"67,634,741"
NNBR,"NN, Inc. Common Stock",$1.54,0.04,2.667%,"67,558,468"
INTZ,Intrusion Inc. Common Stock,$3.19,0.03,0.949%,"67,456,429"
ASRV,AmeriServ Financial Inc. Common Stock,$3.93,-0.01,-0.254%,"67,260,445"
MMMB,"MamaMancini's Holdings, Inc. Common Stock",$1.85,0.055,3.064%,"67,188,035"
LTRN,Lantern Pharma Inc. Common Stock,$6.18,0.14,2.318%,"67,096,507"
RDI,Reading International Inc Class A Common Stock,$3.04,0.27,9.747%,"67,013,225"
CLST,"Catalyst Bancorp, Inc. Common Stock",$12.6581,-0.0419,-0.33%,"66,961,349"
BDTX,"Black Diamond Therapeutics, Inc. Common Stock",$1.84,0.04,2.222%,"66,913,819"
GLG,"TD Holdings, Inc. Common Stock",$1.20,0.03,2.564%,"66,839,263"
BCOW,"1895 Bancorp of Wisconsin, Inc. (MD) Common Stock",$10.09,0.09,0.90%,"66,806,667"
CSSE,"Chicken Soup for the Soul Entertainment, Inc. Class A Common Stock",$5.26,0.14,2.734%,"66,533,203"
EMBK,"Embark Technology, Inc. Common Stock",$2.84,-0.45,-13.678%,"66,518,119"
FLUX,"Flux Power Holdings, Inc. Common Stock",$4.14,0.17,4.282%,"66,359,671"
MESA,"Mesa Air Group, Inc. Common Stock",$1.82,0.29,18.954%,"66,205,953"
FEIM,"Frequency Electronics, Inc. Common Stock",$7.08,0.03,0.426%,"66,153,516"
TCBC,"TC Bancshares, Inc. Common Stock",$14.78,-0.12,-0.805%,"66,133,908"
CRDF,"Cardiff Oncology, Inc. Common Stock",$1.48,0.08,5.714%,"66,122,210"
QOMO,Qomolangma Acquisition Corp. Common Stock,$10.03,UNCH,--,"66,073,859"
ONDS,Ondas Holdings Inc. Common Stock,$1.54,-0.05,-3.145%,"66,042,971"
HSON,"Hudson Global, Inc. Common Stock",$23.52,0.89,3.933%,"65,634,536"
FFBW,"FFBW, Inc. Common Stock (MD)",$11.79,0.18,1.55%,"65,485,327"
USAP,"Universal Stainless & Alloy Products, Inc. Common Stock",$7.29,0.12,1.674%,"65,449,277"
IREN,Iris Energy Limited Ordinary Shares,$1.19,-0.06,-4.80%,"65,429,670"
ASMB,"Assembly Biosciences, Inc. Common Stock",$1.34,0.04,3.077%,"65,365,180"
GECC,Great Elm Capital Corp. Common Stock,$8.568,0.278,3.353%,"65,133,576"
KXIN,Kaixin Auto Holdings Ordinary Shares,$0.3301,0.0369,12.585%,"65,127,143"
AKU,Akumin Inc. Common Stock (DE),$0.7262,0.0074,1.029%,"65,112,191"
AZYO,"Aziyo Biologics, Inc. Class A Common Stock",$4.03,-0.22,-5.176%,"64,981,211"
SNTI,"Senti Biosciences, Inc. Common Stock",$1.48,0.07,4.965%,"64,908,474"
WATT,Energous Corporation Common Stock,$0.8299,-0.0061,-0.73%,"64,801,366"
WIMI,WiMi Hologram Cloud Inc. American Depositary Share,$0.747,0.0071,0.96%,"64,770,907"
ELBM,Electra Battery Materials Corporation Common Stock,$1.84,0.18,10.843%,"64,711,694"
PALI,"Palisade Bio, Inc. Common Stock",$3.82,-1.38,-26.538%,"64,707,656"
IPWR,Ideal Power Inc. Common Stock,$10.89,0.1899,1.775%,"64,534,151"
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,$10.65,0.03,0.282%,"64,475,100"
ICCM,IceCure Medical Ltd. Ordinary Shares,$1.41,-0.14,-9.032%,"64,329,042"
ADVM,"Adverum Biotechnologies, Inc. Common Stock",$0.64,0.0605,10.44%,"63,826,576"
GEG,"Great Elm Group, Inc. Common Stock",$2.11,0.09,4.455%,"63,347,315"
HOWL,"Werewolf Therapeutics, Inc. Common Stock",$2.05,UNCH,--,"63,026,528"
NA,Nano Labs Ltd American Depositary Shares,$1.174,0.024,2.087%,"63,002,710"
CKPT,"Checkpoint Therapeutics, Inc. Common Stock",$6.14,1.03,20.157%,"62,946,555"
TACT,TransAct Technologies Incorporated Common Stock,$6.35,0.03,0.475%,"62,938,235"
HNNA,"Hennessy Advisors, Inc. Common Stock",$8.29,-0.11,-1.31%,"62,786,023"
MIRO,Miromatrix Medical Inc. Common Stock,$3.00,0.01,0.334%,"62,712,885"
LOAN,"Manhattan Bridge Capital, Inc",$5.45,0.12,2.251%,"62,647,450"
ISO,IsoPlexis Corporation Common Stock,$1.55,UNCH,--,"62,511,384"
IMUX,"Immunic, Inc. Common Stock",$1.40,UNCH,--,"62,101,339"
EYEN,"Eyenovia, Inc. Common Stock",$1.715,0.085,5.215%,"61,947,812"
SFR,"Appreciate Holdings, Inc. Class A Common Stock",$1.30,0.15,13.043%,"61,820,972"
HVBC,"HV Bancorp, Inc. Common Stock",$27.60,-0.84,-2.954%,"61,793,695"
GBNH,Greenbrook TMS Inc. Common Shares,$2.09,0.16,8.29%,"61,522,379"
CGEN,Compugen Ltd. Ordinary Shares,$0.71,-0.0057,-0.796%,"61,503,497"
HTOO,Fusion Fuel Green PLC Class A Ordinary Shares,$4.58,0.15,3.386%,"61,458,983"
ARKR,Ark Restaurants Corp. Common Stock,$17.06,0.50,3.019%,"61,422,943"
BCLI,Brainstorm Cell Therapeutics Inc. Common Stock,$1.67,0.03,1.829%,"61,024,771"
RAM,Aries I Acquisition Corporation Class A Ordinary Share,$10.32,0.04,0.389%,"60,782,819"
ROOT,"Root, Inc. Class A Common Stock",$4.31,-0.18,-4.009%,"60,771,000"
KA,"Kineta, Inc. Common Stock",$6.225,-0.125,-1.969%,"60,764,335"
LRFC,Logan Ridge Finance Corporation Common Stock,$22.38,0.0203,0.091%,"60,673,702"
ULBI,Ultralife Corporation Common Stock,$3.75,-0.11,-2.85%,"60,501,068"
OSS,"One Stop Systems, Inc. Common Stock",$3.02,0.01,0.332%,"60,497,996"
RPHM,"Reneo Pharmaceuticals, Inc. Common Stock",$2.45,0.12,5.15%,"60,097,633"
UPTD,TradeUP Acquisition Corp. Common Stock,$10.2501,-0.0399,-0.388%,"59,960,010"
CSBR,"Champions Oncology, Inc. Common Stock",$4.42,-0.09,-1.996%,"59,929,233"
KFFB,Kentucky First Federal Bancorp Common Stock,$7.32,0.66,9.91%,"59,692,367"
CURI,CuriosityStream Inc. Class A Common Stock,$1.13,-0.01,-0.877%,"59,670,910"
LFMD,"LifeMD, Inc. Common Stock",$1.89,-0.05,-2.577%,"59,439,999"
IROQ,"IF Bancorp, Inc. Common Stock",$17.80,0.55,3.188%,"59,409,743"
CRIS,"Curis, Inc. Common Stock",$0.6161,0.0661,12.018%,"59,391,030"
CGTX,"Cognition Therapeutics, Inc. Common Stock",$2.05,-0.05,-2.381%,"59,390,636"
TLSA,Tiziana Life Sciences Ltd. Common Shares,$0.58,-0.0185,-3.091%,"59,318,116"
NCSM,"NCS Multistage Holdings, Inc. Common Stock",$24.6251,-0.3749,-1.50%,"59,308,913"
ENOB,"Enochian Biosciences, Inc. Common Stock",$1.12,0.09,8.738%,"59,303,963"
TXMD,"TherapeuticsMD, Inc. Common Stock",$6.25,0.66,11.807%,"59,169,400"
VTVT,vTv Therapeutics Inc. Class A Common Stock,$0.724,0.0612,9.234%,"58,994,126"
ATER,"Aterian, Inc. Common Stock",$0.7287,-0.0416,-5.40%,"58,930,419"
GAN,GAN Limited Ordinary Shares,$1.38,-0.12,-8.00%,"58,774,217"
SSIC,Silver Spike Investment Corp. Common Stock,$9.45,-0.35,-3.571%,"58,728,650"
HYPR,"Hyperfine, Inc. Class A Common Stock",$0.8305,-0.0095,-1.131%,"58,613,145"
CYT,"Cyteir Therapeutics, Inc. Common Stock",$1.65,UNCH,--,"58,474,205"
COSM,Cosmos Health Inc. Common Stock,$5.52,0.96,21.053%,"58,454,487"
AXDX,"Accelerate Diagnostics, Inc. Common Stock",$0.588,-0.118,-16.714%,"58,270,494"
OESX,"Orion Energy Systems, Inc. Common Stock",$1.8201,0.0001,0.005%,"58,215,252"
AUGX,"Augmedix, Inc. Common Stock",$1.555,-0.005,-0.321%,"58,207,077"
ANEB,"Anebulo Pharmaceuticals, Inc. Common Stock",$2.27,-0.1537,-6.342%,"58,187,403"
LYLT,Loyalty Ventures Inc. Common Stock,$2.35,-0.06,-2.49%,"57,838,043"
OTMO,Otonomo Technologies Ltd. Ordinary shares,$0.4107,0.0037,0.909%,"57,813,427"
TZOO,Travelzoo Common Stock,$4.66,0.21,4.719%,"57,782,644"
INAB,"IN8bio, Inc. Common Stock",$2.35,0.04,1.732%,"57,580,069"
ONCT,"Oncternal Therapeutics, Inc. Common Stock",$1.02,0.02,2.00%,"57,463,762"
MKTW,"MarketWise, Inc. Class A Common Stock",$1.69,0.01,0.595%,"57,246,218"
ASPI,ASP Isotopes Inc. Common Stock,$1.66,0.08,5.063%,"57,032,831"
PDEX,"Pro-Dex, Inc. Common Stock",$15.90,UNCH,--,"56,927,024"
FSEA,First Seacoast Bancorp Common Stock,$9.38,-0.17,-1.78%,"56,888,678"
AQB,"AquaBounty Technologies, Inc. Common Stock",$0.7967,0.0327,4.28%,"56,653,905"
MLGO,"MicroAlgo, Inc. Ordinary Shares",$1.29,0.04,3.20%,"56,575,151"
MBTC,Nocturne Acquisition Corporation Ordinary Shares,$10.5996,-0.0505,-0.474%,"56,433,118"
JNCE,"Jounce Therapeutics, Inc. Common Stock",$1.09,-0.02,-1.802%,"56,346,718"
LVO,"LiveOne, Inc. Common Stock",$0.642,-0.0015,-0.233%,"56,146,041"
USEG,U.S. Energy Corp. Common Stock (DE),$2.24,-0.06,-2.609%,"56,053,339"
ALBT,Avalon GloboCare Corp. Common Stock,$0.56,0.04,7.692%,"55,991,286"
ALZN,"Alzamend Neuro, Inc. Common Stock",$0.58,0.0151,2.673%,"55,928,022"
ORTX,Orchard Therapeutics plc American Depositary Shares,$0.44,0.069,18.598%,"55,743,475"
RSSS,"Research Solutions, Inc Common Stock",$1.90,-0.02,-1.042%,"55,664,456"
DSP,Viant Technology Inc. Class A Common Stock,$3.84,-0.18,-4.478%,"55,526,723"
TEDU,"Tarena International, Inc. American Depositary Shares",$5.015,0.345,7.388%,"55,502,610"
VLNS,"The Valens Company, Inc. Common Shares",$0.6869,0.0269,4.076%,"55,459,991"
SNCR,"Synchronoss Technologies, Inc. Common Stock",$0.61,-0.0081,-1.31%,"55,428,386"
APTO,"Aptose Biosciences, Inc. Common Shares",$0.60,0.02,3.448%,"55,376,840"
BOTJ,"Bank of the James Financial Group, Inc. Common Stock",$11.93,0.02,0.168%,"55,219,878"
ENLV,Enlivex Therapeutics Ltd. Ordinary Shares,$4.10,0.1625,4.127%,"55,201,461"
ADAG,Adagene Inc. American Depositary Shares,$1.27,-0.055,-4.151%,"55,147,444"
DMTK,"DermTech, Inc. Common Stock",$1.82,0.05,2.825%,"54,990,763"
SELF,"Global Self Storage, Inc. Common Stock",$4.95,0.07,1.434%,"54,972,388"
CRWS,Crown Crafts Inc Common Stock,$5.4299,0.0899,1.684%,"54,937,404"
PMCB,"PharmaCyte  Biotech, Inc. Common Stock",$2.93,UNCH,--,"54,868,885"
NSTS,"NSTS Bancorp, Inc. Common Stock",$10.13,UNCH,--,"54,681,325"
EIGR,"Eiger BioPharmaceuticals, Inc. Common Stock",$1.24,0.06,5.085%,"54,652,112"
TURN,180 Degree Capital Corp. Common Stock,$5.2501,-0.0299,-0.566%,"54,463,592"
RAIL,"FreightCar America, Inc. Common Stock",$3.16,-0.04,-1.25%,"54,425,647"
LUCD,Lucid Diagnostics Inc. Common Stock,$1.39,0.03,2.206%,"54,360,461"
VIRX,"Viracta Therapeutics, Inc. Common Stock",$1.42,-0.04,-2.74%,"54,240,230"
ARBK,Argo Blockchain plc American Depositary Shares,$1.16,0.08,7.407%,"54,181,550"
TAYD,"Taylor Devices, Inc. Common Stock",$13.28,-0.91,-6.413%,"53,931,753"
PGRW,Progress Acquisition Corp. Class A Common Stock,$10.20,0.08,0.791%,"53,761,018"
CDTX,"Cidara Therapeutics, Inc. Common Stock",$0.75,-0.0063,-0.833%,"53,713,568"
AAOI,"Applied Optoelectronics, Inc. Common Stock",$1.88,-0.01,-0.529%,"53,624,592"
BTBT,"Bit Digital, Inc. Ordinary Shares",$0.648,0.048,8.00%,"53,448,886"
BYSI,BeyondSpring Inc. Ordinary Shares,$1.75,-0.13,-6.915%,"53,362,787"
NOGN,"Nogin, Inc. Common Stock",$0.80,0.03,3.896%,"53,355,436"
WEJO,Wejo Group Limited Common Shares,$0.4901,0.0091,1.892%,"53,273,715"
HFBL,"Home Federal Bancorp, Inc. of Louisiana Common Stock",$17.11,UNCH,--,"53,241,957"
DUNE,Dune Acquisition Corporation Class A Common Stock,$9.68,0.1401,1.469%,"53,187,283"
CFSB,"CFSB Bancorp, Inc. Common Stock",$8.0888,-0.0012,-0.015%,"52,752,258"
EDTX,EdtechX Holdings Acquisition Corp. II Class A common stock,$10.1799,UNCH,--,"52,724,542"
INZY,"Inozyme Pharma, Inc. Common Stock",$1.30,0.25,23.81%,"52,512,672"
SLS,"SELLAS Life Sciences Group, Inc. Common Stock",$2.55,0.19,8.051%,"52,500,030"
LINK,"Interlink Electronics, Inc. Common Stock",$7.93,-0.23,-2.819%,"52,372,083"
GEOS,Geospace Technologies Corporation Common Stock (Texas),$4.02,-0.20,-4.739%,"52,345,389"
SYBX,"Synlogic, Inc. Common Stock",$0.7415,-0.0185,-2.434%,"52,290,536"
ICMB,"Investcorp Credit Management BDC, Inc. Common Stock",$3.633,0.108,3.064%,"52,273,261"
JEWL,Adamas One Corp. Common Stock,$2.84,-0.2612,-8.423%,"52,020,635"
RFIL,"RF Industries, Ltd. Common Stock",$5.1101,-0.0299,-0.582%,"51,899,152"
DBTX,"Decibel Therapeutics, Inc. Common Stock",$2.075,0.025,1.22%,"51,801,342"
BOLT,"Bolt Biotherapeutics, Inc. Common Stock",$1.37,0.07,5.385%,"51,595,423"
HHGC,HHG Capital Corporation Ordinary Shares,$10.11,0.01,0.099%,"51,393,235"
SNCE,"Science 37 Holdings, Inc. Common Stock",$0.4398,0.0246,5.925%,"51,308,669"
RPID,"Rapid Micro Biosystems, Inc. Class A Common Stock",$1.22,0.09,7.965%,"51,233,028"
MTRY,Monterey Bio Acquisition Corporation Common Stock,$10.45,-0.05,-0.476%,"51,146,313"
CADL,"Candel Therapeutics, Inc. Common Stock",$1.77,-0.02,-1.117%,"51,142,458"
DRTT,DIRTT Environmental Solutions Ltd. Common Shares,$0.525,-0.005,-0.943%,"51,125,755"
ACER,Acer Therapeutics Inc. Common Stock (DE),$2.62,0.11,4.382%,"51,121,115"
FUSB,"First US Bancshares, Inc. Common Stock",$8.795,0.115,1.325%,"51,118,809"
VTSI,"VirTra, Inc. Common Stock",$4.69,0.01,0.214%,"51,112,835"
INFI,"Infinity Pharmaceuticals, Inc. Common Stock",$0.57,0.015,2.703%,"50,926,981"
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,$10.4999,UNCH,--,"50,721,079"
KAVL,"Kaival Brands Innovations Group, Inc. Common Stock",$0.8998,0.0023,0.256%,"50,540,947"
BREZ,Breeze Holdings Acquisition Corp. Common Stock,$10.4499,0.0198,0.19%,"50,475,065"
CXDO,"Crexendo, Inc. Common Stock",$2.00,0.10,5.263%,"50,435,410"
FKWL,Franklin Wireless Corp. Common Stock,$4.31,-0.15,-3.363%,"50,359,247"
SAI,SAI.TECH Global Corporation Class A Ordinary Shares,$2.23,0.22,10.945%,"50,318,360"
ICCC,ImmuCell Corporation Common Stock,$6.48,0.38,6.23%,"50,199,679"
DSWL,"Deswell Industries, Inc. Common Shares",$3.15,0.0365,1.172%,"50,196,003"
RCAT,"Red Cat Holdings, Inc. Common Stock",$0.9224,-0.0176,-1.872%,"50,102,663"
PFIE,"Profire Energy, Inc. Common Stock",$1.06,UNCH,--,"49,862,562"
TCBS,"Texas Community Bancshares, Inc. Common Stock",$15.1218,-0.2282,-1.487%,"49,854,200"
SFE,"Safeguard Scientifics, Inc. Common Stock",$3.04,-0.06,-1.935%,"49,816,863"
NAII,"Natural Alternatives International, Inc. Common Stock",$8.2001,-0.1899,-2.263%,"49,705,177"
ICCH,"ICC Holdings, Inc. Common Stock",$15.75,UNCH,--,"49,693,424"
LTRPA,"Liberty TripAdvisor Holdings, Inc. Series A Common Stock",$0.655,-0.0146,-2.18%,"49,686,709"
ICAD,"iCAD, Inc. Common Stock",$1.95,0.12,6.557%,"49,620,494"
GAIA,"Gaia, Inc. Class A Common Stock",$2.3747,-0.0053,-0.223%,"49,408,450"
GROW,"U.S. Global Investors, Inc. Class A Common Stock",$2.91,0.02,0.692%,"49,321,139"
AAME,Atlantic American Corporation Common Stock,$2.42,0.079,3.375%,"49,288,694"
UPXI,"Upexi, Inc. Common Stock",$2.74,-0.26,-8.667%,"49,212,450"
ACXP,"Acurx Pharmaceuticals, Inc. Common Stock",$4.2402,0.2602,6.538%,"49,154,981"
AERC,"AeroClean Technologies, Inc. Common Stock",$3.17,0.04,1.278%,"49,125,274"
ABEO,Abeona Therapeutics Inc. Common Stock,$2.86,-0.22,-7.143%,"49,122,785"
SNAL,"Snail, Inc. Class A Common Stock",$1.33,-0.14,-9.524%,"49,085,011"
ANPC,"AnPac Bio-Medical Science Co., Ltd. American Depositary Shares",$4.38,-0.30,-6.41%,"49,061,957"
JRSH,"Jerash Holdings (US), Inc. Common Stock",$3.95,0.06,1.542%,"48,959,014"
UG,"United-Guardian, Inc. Common Stock",$10.6299,0.1899,1.819%,"48,837,152"
PESI,"Perma-Fix Environmental Services, Inc. Common Stock",$3.66,0.13,3.683%,"48,768,607"
AQST,"Aquestive Therapeutics, Inc. Common Stock",$0.8999,-0.0022,-0.244%,"48,734,997"
ICU,SeaStar Medical Holding Corporation Common Stock,$3.8181,-0.2819,-6.876%,"48,488,602"
PYXS,"Pyxis Oncology, Inc. Common Stock",$1.38,0.04,2.985%,"48,434,213"
ASTI,"Ascent Solar Technologies, Inc. Common Stock",$1.41,-0.22,-13.497%,"47,842,445"
TOPS,"TOP Ships, Inc. Common Stock",$1.20,-0.07,-5.512%,"47,798,366"
NVNO,enVVeno Medical Corporation Common Stock,$5.015,-0.085,-1.667%,"47,501,739"
MDWT,Midwest Holding Inc. Common Stock,$12.74,UNCH,--,"47,494,414"
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,$1.64,-0.01,-0.606%,"47,381,330"
CNTB,Connect Biopharma Holdings Limited American Depositary Shares,$0.86,-0.0078,-0.899%,"47,313,570"
LFVN,Lifevantage Corporation Common Stock (Delaware),$3.765,0.045,1.21%,"47,288,532"
AVTX,"Avalo Therapeutics, Inc. Common Stock",$5.01,-0.0301,-0.597%,"47,164,661"
DWSN,Dawson Geophysical Company Common Stock,$1.98,0.02,1.02%,"47,148,411"
KTCC,Key Tronic Corporation Common Stock,$4.37,0.04,0.924%,"47,029,376"
SCYX,"SCYNEXIS, Inc. Common Stock",$1.44,-0.12,-7.692%,"47,026,068"
RWLK,ReWalk Robotics Ltd. Ordinary Shares,$0.755,-0.0051,-0.671%,"46,824,239"
AEYE,"AudioEye, Inc. Common Stock",$4.065,0.235,6.136%,"46,782,772"
BMRA,"Biomerica, Inc. Common Stock",$3.43,0.08,2.388%,"46,216,979"
TESS,TESSCO Technologies Incorporated Common Stock,$5.02,0.12,2.449%,"46,211,650"
MYMD,"MyMD Pharmaceuticals, Inc. Common Stock",$1.17,0.02,1.739%,"46,179,911"
PAVM,PAVmed Inc. Common Stock,$0.4902,0.0102,2.125%,"45,934,053"
SDC,"SmileDirectClub, Inc. Class A Common Stock",$0.377,0.0248,7.041%,"45,912,940"
TATT,TAT Technologies Ltd. Ordinary Shares,$5.16,-0.14,-2.642%,"45,854,577"
LUXH,LuxUrban Hotels Inc. Common Stock,$1.659,-0.0409,-2.406%,"45,774,992"
MOVE,Movano Inc. Common Stock,$1.3546,0.0546,4.20%,"45,536,490"
TALS,"Talaris Therapeutics, Inc. Common Stock",$1.09,0.07,6.863%,"45,477,618"
VANI,"Vivani Medical, Inc. Common Stock",$0.8951,0.0454,5.343%,"45,413,588"
NLSP,NLS Pharmaceutics Ltd. Ordinary Shares,$1.40,0.11,8.527%,"45,400,450"
KOSS,Koss Corporation Common Stock,$4.94,-0.01,-0.202%,"45,348,187"
ACHV,"Achieve Life Sciences, Inc. Common Shares",$2.53,0.08,3.265%,"45,279,483"
ADES,"Advanced Emissions Solutions, Inc. Common Stock",$2.36,-0.07,-2.881%,"45,101,748"
COYA,"Coya Therapeutics, Inc. Common Stock",$4.65,-0.0881,-1.859%,"45,009,247"
HOFV,Hall of Fame Resort & Entertainment Company Common Stock,$8.1613,0.1013,1.257%,"45,000,323"
