Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
AVGO,Broadcom Inc.,Common stocks,Large cap,Information Technology,"$238,873,064,132",3.21%,0,0,0,Analyze
DIS,Walt Disney,Common stocks,Large cap,Communication Services,"$238,211,675,103",0.00%,0,0,0,Analyze
VZ,Verizon Communications Inc,Common stocks,Large cap,Communication Services,"$225,297,195,940",5.83%,0,0,0,Analyze
TMO,Thermo Fisher Scientific Inc,Common stocks,Large cap,Health Care,"$223,488,461,850",0.19%,0,0,0,Analyze
MRK,Merck & Co Inc,Common stocks,Large cap,Health Care,"$216,456,499,773",3.09%,0,0,0,Analyze
ACN,Accenture Plc Class A,Common stocks,Large cap,Information Technology,"$215,794,602,454",1.13%,0,0,0,Analyze
CSCO,Cisco Systems Inc,Common stocks,Large cap,Information Technology,"$215,268,985,760",2.85%,0,0,0,Analyze
CMCSA,Comcast A Corp,Common stocks,Large cap,Communication Services,"$213,748,886,138",2.14%,0,0,0,Analyze
ORCL,Oracle Corp,Common stocks,Large cap,Information Technology,"$211,664,894,810",1.60%,0,0,0,Analyze
ABT,Abbott Laboratories,Common stocks,Large cap,Health Care,"$207,949,828,925",1.53%,0,0,0,Analyze
ADBE,Adobe Inc,Common stocks,Large cap,Information Technology,"$201,648,825,000",0.00%,0,0,0,Analyze
DHR,Danaher Corp,Common stocks,Large cap,Health Care,"$200,828,084,994",0.31%,0,0,0,Analyze
NKE,Nike Inc Class B,Common stocks,Large cap,Consumer Discretionary,"$196,291,545,201",0.92%,0,0,0,Analyze
CRM,Salesforce.Com Inc,Common stocks,Large cap,Information Technology,"$192,861,900,000",0.00%,0,0,0,Analyze
INTC,Intel Corporation Corp,Common stocks,Large cap,Information Technology,"$190,122,742,173",2.99%,0,0,0,Analyze
MCD,Mcdonalds Corp,Common stocks,Large cap,Consumer Discretionary,"$184,287,460,824",2.13%,0,0,0,Analyze
WFC,Wells Fargo,Common stocks,Large cap,Financials,"$184,072,920,351",1.54%,0,0,0,Analyze
BMY,Bristol Myers Squibb,Common stocks,Large cap,Health Care,"$166,857,016,371",2.66%,0,0,0,Analyze
NEE,Nextera Energy Inc,Common stocks,Large cap,Utilities,"$164,346,378,273",1.87%,0,0,0,Analyze
TMUS,T Mobile US Inc,Common stocks,Large cap,Communication Services,"$164,206,671,554",0.00%,0,0,0,Analyze
UPS,United Parcel Service Inc Class B,Common stocks,Large cap,Industrials,"$162,412,116,000",2.42%,0,0,0,Analyze
LIN,Linde Plc,Common stocks,Large cap,Materials,"$160,942,185,534",1.38%,42.77,5.23,3.72,Analyze
TXN,Texas Instrument Inc,Common stocks,Large cap,Information Technology,"$159,657,814,766",2.49%,0,0,0,Analyze
PM,Philip Morris International Inc,Common stocks,Large cap,Consumer Staples,"$155,767,747,516",4.83%,0,0,0,Analyze
AMD,Advanced Micro Devices Inc,Common stocks,Large cap,Information Technology,"$154,077,013,627",0.00%,0,0,0,Analyze
UNP,Union Pacific Corp,Common stocks,Large cap,Industrials,"$153,992,520,916",1.82%,0,0,0,Analyze
QCOM,Qualcomm Inc,Common stocks,Large cap,Information Technology,"$153,112,345,826",1.99%,0,0,0,Analyze
RTX,Raytheon Technologies Corporation,Common stocks,Large cap,Industrials,"$152,901,535,480",1.97%,0,0,0,Analyze
NFLX,Netflix Inc,Common stocks,Large cap,Communication Services,"$152,021,662,253",0.00%,0,0,0,Analyze
SCHW,Charles Schwab Corporation,Common stocks,Large cap,Financials,"$150,457,930,476",0.92%,0,0,0,Analyze
MDT,Medtronic Plc,Common stocks,Large cap,Health Care,"$148,347,402,303",2.26%,0,0,0,Analyze
MS,Morgan Stanley,Common stocks,Large cap,Financials,"$147,394,554,374",2.89%,0,0,0,Analyze
SPGI,S&P Global Inc,Common stocks,Large cap,Financials,"$137,877,244,130",0.77%,0,0,0,Analyze
T,AT&T Inc.,Common stocks,Large cap,Communication Services,"$137,732,829,278",7.82%,0,0,0,Analyze
CVS,CVS Health Corp,Common stocks,Large cap,Health Care,"$137,412,587,094",1.94%,0,0,0,Analyze
